X,Y,Vx,VY,Xref,Yref
11.5500,-1.1600,0.0000,0.0000,-8.0705,4.3898
11.5501,-1.1599,0.0019,0.0016,-8.0111,4.0411
11.5502,-1.1599,0.0019,0.0016,-7.9436,3.6938
11.5503,-1.1598,0.0019,0.0016,-7.8434,3.3549
11.5503,-1.1597,0.0019,0.0016,-7.7228,3.0224
11.5504,-1.1596,0.0019,0.0016,-7.5825,2.6978
11.5505,-1.1595,0.0019,0.0016,-7.4143,2.3866
11.5507,-1.1594,0.0019,0.0016,-7.2344,2.0821
11.5508,-1.1594,0.0019,0.0016,-7.0253,1.7968
11.5508,-1.1593,0.0019,0.0016,-6.8084,1.5174
11.5510,-1.1592,0.0019,0.0016,-6.5651,1.2606
11.5511,-1.1591,0.0019,0.0016,-6.3110,1.0145
11.5512,-1.1590,0.0019,0.0016,-6.0392,0.7884
11.5513,-1.1589,0.0019,0.0016,-5.7610,0.5699
11.5514,-1.1588,0.0019,0.0016,-5.4752,0.3617
11.5515,-1.1588,0.0019,0.0016,-5.1780,0.1698
11.5516,-1.1587,0.0019,0.0016,-4.8775,-0.0169
11.5517,-1.1586,0.0019,0.0016,-4.5648,-0.1821
11.5518,-1.1585,0.0019,0.0016,-4.2501,-0.3438
11.5519,-1.1584,0.0019,0.0016,-3.9256,-0.4844
11.5520,-1.1583,0.0019,0.0016,-3.5981,-0.6182
11.5521,-1.1583,0.0019,0.0016,-3.2639,-0.7340
11.5522,-1.1582,0.0019,0.0016,-2.9254,-0.8367
11.5523,-1.1581,0.0019,0.0016,-2.5835,-0.9269
11.5524,-1.1580,0.0019,0.0016,-2.2367,-0.9969
11.5525,-1.1579,0.0019,0.0016,-1.8887,-1.0605
11.5526,-1.1578,0.0019,0.0016,-1.5369,-1.0967
11.5527,-1.1577,0.0019,0.0016,-1.1846,-1.1290
11.5528,-1.1576,0.0019,0.0016,-0.8311,-1.1397
11.5529,-1.1576,0.0019,0.0016,-0.4774,-1.1417
11.5530,-1.1575,0.0019,0.0016,-0.1236,-1.1436
11.5531,-1.1574,0.0019,0.0016,0.2301,-1.1456
11.5532,-1.1573,0.0019,0.0016,0.5839,-1.1476
11.5533,-1.1572,0.0019,0.0016,0.9376,-1.1492
11.5534,-1.1571,0.0019,0.0016,1.2913,-1.1505
11.5535,-1.1570,0.0019,0.0016,1.6451,-1.1519
11.5536,-1.1570,0.0019,0.0016,1.9988,-1.1533
11.5537,-1.1569,0.0019,0.0016,2.3526,-1.1547
11.5538,-1.1568,0.0019,0.0016,2.7063,-1.1557
11.5539,-1.1567,0.0019,0.0016,3.0601,-1.1566
11.5541,-1.1566,0.0019,0.0016,3.4138,-1.1575
11.5541,-1.1565,0.0019,0.0016,3.7676,-1.1583
11.5542,-1.1565,0.0019,0.0016,4.1213,-1.1592
11.5543,-1.1564,0.0019,0.0016,4.4750,-1.1598
11.5544,-1.1563,0.0019,0.0016,4.8288,-1.1602
11.5545,-1.1562,0.0019,0.0016,5.1825,-1.1607
11.5546,-1.1561,0.0019,0.0016,5.5363,-1.1611
11.5547,-1.1560,0.0019,0.0016,5.8900,-1.1616
11.5548,-1.1559,0.0019,0.0016,6.2438,-1.1618
11.5549,-1.1559,0.0019,0.0016,6.5975,-1.1619
11.5550,-1.1558,0.0019,0.0016,6.9513,-1.1620
11.5551,-1.1557,0.0019,0.0016,7.3050,-1.1621
11.5552,-1.1556,0.0019,0.0016,7.6588,-1.1622
11.5553,-1.1555,0.0019,0.0016,8.0125,-1.1622
11.5554,-1.1554,0.0019,0.0016,8.3663,-1.1621
11.5555,-1.1553,0.0019,0.0016,8.7200,-1.1620
11.5556,-1.1553,0.0019,0.0016,9.0737,-1.1618
11.5557,-1.1551,0.0019,0.0016,9.4275,-1.1617
11.5558,-1.1551,0.0019,0.0016,9.7812,-1.1614
11.5560,-1.1550,0.0019,0.0016,10.1350,-1.1612
11.5560,-1.1549,0.0019,0.0016,10.4887,-1.1609
11.5561,-1.1548,0.0019,0.0016,10.8425,-1.1606
11.5563,-1.1547,0.0019,0.0016,11.1962,-1.1603
11.5564,-1.1546,0.0019,0.0016,11.5500,-1.1600
11.5565,-1.1545,0.0019,0.0016,11.9037,-1.1597
11.5566,-1.1544,0.0019,0.0016,12.2575,-1.1593
11.5567,-1.1543,0.0019,0.0016,12.6112,-1.1590
11.5568,-1.1543,0.0019,0.0016,12.9650,-1.1586
11.5569,-1.1542,0.0019,0.0016,13.3187,-1.1583
11.5570,-1.1541,0.0019,0.0016,13.6724,-1.1580
11.5571,-1.1540,0.0019,0.0016,14.0262,-1.1577
11.5571,-1.1539,0.0019,0.0016,14.3799,-1.1574
11.5573,-1.1538,0.0019,0.0016,14.7337,-1.1570
11.5574,-1.1537,0.0019,0.0016,15.0874,-1.1568
11.5575,-1.1536,0.0019,0.0016,15.4412,-1.1566
11.5576,-1.1535,0.0019,0.0016,15.7949,-1.1564
11.5577,-1.1535,0.0019,0.0016,16.1487,-1.1562
11.5578,-1.1534,0.0019,0.0016,16.5024,-1.1560
11.5579,-1.1533,0.0019,0.0016,16.8562,-1.1559
11.5580,-1.1532,0.0019,0.0016,17.2099,-1.1559
11.5581,-1.1531,0.0019,0.0016,17.5637,-1.1559
11.5582,-1.1530,0.0019,0.0016,17.9174,-1.1559
11.5583,-1.1530,0.0019,0.0016,18.2712,-1.1559
11.5584,-1.1529,0.0019,0.0016,18.6249,-1.1561
11.5584,-1.1528,0.0019,0.0016,18.9786,-1.1565
11.5585,-1.1527,0.0019,0.0016,19.3324,-1.1568
11.5586,-1.1526,0.0019,0.0016,19.6861,-1.1571
11.5587,-1.1525,0.0019,0.0016,20.0399,-1.1573
11.5588,-1.1525,0.0019,0.0016,20.3936,-1.1619
11.5589,-1.1523,0.0019,0.0016,20.7473,-1.1699
11.5590,-1.1523,0.0019,0.0016,21.1006,-1.1561
11.5591,-1.1522,0.0019,0.0016,21.4540,-1.1382
11.5592,-1.1521,0.0019,0.0016,21.8051,-1.0952
11.5593,-1.1520,0.0019,0.0016,22.1558,-1.0494
11.5594,-1.1519,0.0019,0.0016,22.5028,-0.9807
11.5595,-1.1518,0.0019,0.0016,22.8484,-0.9058
11.5596,-1.1518,0.0019,0.0016,23.1899,-0.8135
11.5597,-1.1517,0.0019,0.0016,23.5279,-0.7094
11.5598,-1.1516,0.0019,0.0016,23.8622,-0.5937
11.5599,-1.1515,0.0019,0.0016,24.1898,-0.4606
11.5600,-1.1514,0.0019,0.0016,24.5117,-0.3139
11.5601,-1.1513,0.0019,0.0016,24.8186,-0.1381
11.5602,-1.1512,0.0019,0.0016,25.1178,0.0505
11.5603,-1.1511,0.0019,0.0016,25.3997,0.2642
11.5604,-1.1511,0.0019,0.0016,25.6707,0.4914
11.5605,-1.1510,0.0019,0.0016,25.9231,0.7394
11.5606,-1.1509,0.0019,0.0016,26.1613,1.0007
11.5607,-1.1508,0.0019,0.0016,26.3810,1.2780
11.5608,-1.1507,0.0019,0.0016,26.5806,1.5698
11.5609,-1.1506,0.0019,0.0016,26.7628,1.8730
11.5610,-1.1505,0.0019,0.0016,26.9295,2.1850
11.5611,-1.1504,0.0019,0.0016,27.0752,2.5073
11.5612,-1.1503,0.0019,0.0016,27.2019,2.8376
11.5613,-1.1502,0.0019,0.0016,27.3135,3.1733
11.5614,-1.1501,0.0019,0.0016,27.4109,3.5133
11.5615,-1.1501,0.0019,0.0016,27.4949,3.8568
11.5616,-1.1500,0.0019,0.0016,27.5666,4.2032
11.5617,-1.1499,0.0019,0.0016,27.6243,4.5522
11.5618,-1.1498,0.0019,0.0016,27.6673,4.9033
11.5619,-1.1497,0.0019,0.0016,27.6962,5.2559
11.5619,-1.1496,0.0019,0.0016,27.7106,5.6093
11.5620,-1.1496,0.0019,0.0016,27.7114,5.9630
11.5621,-1.1495,0.0019,0.0016,27.6956,6.3164
11.5622,-1.1494,0.0019,0.0016,27.6624,6.6686
11.5623,-1.1493,0.0019,0.0016,27.6129,7.0188
11.5624,-1.1492,0.0019,0.0016,27.5585,7.3683
11.5625,-1.1491,0.0019,0.0016,27.5087,7.7185
11.5626,-1.1491,0.0019,0.0016,27.4344,8.0642
11.5627,-1.1490,0.0019,0.0016,27.3477,8.4072
11.5628,-1.1489,0.0019,0.0016,27.2379,8.7434
11.5628,-1.1488,0.0019,0.0016,27.1195,9.0767
11.5629,-1.1487,0.0019,0.0016,26.9843,9.4037
11.5630,-1.1486,0.0019,0.0016,26.8406,9.7268
11.5631,-1.1486,0.0019,0.0016,26.6837,10.0439
11.5632,-1.1485,0.0019,0.0016,26.5120,10.3531
11.5633,-1.1484,0.0019,0.0016,26.3302,10.6566
11.5634,-1.1483,0.0019,0.0016,26.1334,10.9505
11.5635,-1.1482,0.0019,0.0016,25.9285,11.2388
11.5636,-1.1481,0.0019,0.0016,25.7083,11.5157
11.5637,-1.1481,0.0019,0.0016,25.4805,11.7862
11.5638,-1.1480,0.0019,0.0016,25.2387,12.0445
11.5639,-1.1479,0.0019,0.0016,24.9885,12.2944
11.5640,-1.1478,0.0019,0.0016,24.7269,12.5326
11.5640,-1.1477,0.0019,0.0016,24.4551,12.7589
11.5642,-1.1476,0.0019,0.0016,24.1749,12.9749
11.5643,-1.1475,0.0019,0.0016,23.8835,13.1753
11.5644,-1.1474,0.0019,0.0016,23.5856,13.3660
11.5644,-1.1473,0.0019,0.0016,23.2771,13.5392
11.5645,-1.1473,0.0019,0.0016,22.9675,13.7103
11.5646,-1.1472,0.0019,0.0016,22.6579,13.8815
11.5647,-1.1471,0.0019,0.0016,22.3484,14.0526
11.5648,-1.1470,0.0019,0.0016,22.0388,14.2238
11.5649,-1.1469,0.0019,0.0016,21.7291,14.3948
11.5650,-1.1468,0.0019,0.0016,21.4193,14.5656
11.5651,-1.1467,0.0019,0.0016,21.1096,14.7364
11.5652,-1.1466,0.0019,0.0016,20.7998,14.9072
11.5653,-1.1465,0.0019,0.0016,20.4900,15.0780
11.5654,-1.1465,0.0019,0.0016,20.1802,15.2488
11.5655,-1.1463,0.0019,0.0016,19.8703,15.4194
11.5656,-1.1463,0.0019,0.0016,19.5604,15.5900
11.5657,-1.1462,0.0019,0.0016,19.2505,15.7605
11.5658,-1.1461,0.0019,0.0016,18.9406,15.9311
11.5659,-1.1460,0.0019,0.0016,18.6307,16.1016
11.5660,-1.1459,0.0019,0.0016,18.3207,16.2721
11.5661,-1.1458,0.0019,0.0016,18.0106,16.4424
11.5662,-1.1457,0.0019,0.0016,17.7006,16.6127
11.5663,-1.1456,0.0019,0.0016,17.3906,16.7830
11.5664,-1.1455,0.0019,0.0016,17.0805,16.9534
11.5665,-1.1454,0.0019,0.0016,16.7705,17.1237
11.5665,-1.1454,0.0019,0.0016,16.4603,17.2939
11.5666,-1.1453,0.0019,0.0016,16.1502,17.4640
11.5667,-1.1452,0.0019,0.0016,15.8401,17.6341
11.5668,-1.1451,0.0019,0.0016,15.5299,17.8043
11.5669,-1.1450,0.0019,0.0016,15.2198,17.9744
11.5670,-1.1449,0.0019,0.0016,14.9096,18.1445
11.5671,-1.1448,0.0019,0.0016,14.5994,18.3145
11.5672,-1.1447,0.0019,0.0016,14.2892,18.4845
11.5673,-1.1447,0.0019,0.0016,13.9789,18.6545
11.5674,-1.1446,0.0019,0.0016,13.6687,18.8245
11.5675,-1.1445,0.0019,0.0016,13.3585,18.9945
11.5676,-1.1444,0.0019,0.0016,13.0483,19.1645
11.5677,-1.1443,0.0019,0.0016,12.7380,19.3344
11.5677,-1.1442,0.0019,0.0016,12.4277,19.5043
11.5678,-1.1441,0.0019,0.0016,12.1175,19.6742
11.5679,-1.1441,0.0019,0.0016,11.8072,19.8441
11.5680,-1.1440,0.0019,0.0016,11.4969,20.0141
11.5681,-1.1439,0.0019,0.0016,11.1867,20.1840
11.5682,-1.1438,0.0019,0.0016,10.8764,20.3538
11.5683,-1.1437,0.0019,0.0016,10.5661,20.5237
11.5684,-1.1436,0.0019,0.0016,10.2558,20.6936
11.5685,-1.1435,0.0019,0.0016,9.9455,20.8635
11.5686,-1.1434,0.0019,0.0016,9.6352,21.0333
11.5687,-1.1433,0.0019,0.0016,9.3249,21.2032
11.5688,-1.1432,0.0019,0.0016,9.0147,21.3731
11.5689,-1.1431,0.0019,0.0016,8.7044,21.5430
11.5690,-1.1430,0.0019,0.0016,8.3941,21.7129
11.5690,-1.1430,0.0019,0.0016,8.0838,21.8828
11.5691,-1.1429,0.0019,0.0016,7.7736,22.0528
11.5692,-1.1428,0.0019,0.0016,7.4633,22.2227
11.5693,-1.1427,0.0019,0.0016,7.1531,22.3927
11.5694,-1.1426,0.0019,0.0016,6.8428,22.5626
11.5695,-1.1425,0.0019,0.0016,6.5326,22.7326
11.5696,-1.1424,0.0019,0.0016,6.2224,22.9025
11.5697,-1.1423,0.0019,0.0016,5.9122,23.0726
11.5698,-1.1422,0.0019,0.0016,5.6020,23.2427
11.5699,-1.1421,0.0019,0.0016,5.2918,23.4127
11.5700,-1.1420,0.0019,0.0016,4.9816,23.5828
11.5701,-1.1419,0.0019,0.0016,4.6714,23.7528
11.5702,-1.1418,0.0019,0.0016,4.3613,23.9229
11.5703,-1.1417,0.0019,0.0016,4.0512,24.0932
11.5704,-1.1417,0.0019,0.0016,3.7411,24.2634
11.5705,-1.1416,0.0019,0.0016,3.4310,24.4337
11.5705,-1.1415,0.0019,0.0016,3.1209,24.6039
11.5706,-1.1414,0.0019,0.0016,2.8107,24.7740
11.5707,-1.1413,0.0019,0.0016,2.5055,24.9528
11.5709,-1.1412,0.0019,0.0016,2.1972,25.1263
11.5710,-1.1411,0.0019,0.0016,1.8851,25.2927
11.5711,-1.1410,0.0019,0.0016,1.5686,25.4506
11.5711,-1.1409,0.0019,0.0016,1.2474,25.5990
11.5712,-1.1408,0.0019,0.0016,0.9220,25.7376
11.5713,-1.1407,0.0019,0.0016,0.5927,25.8666
11.5714,-1.1406,0.0019,0.0016,0.2593,25.9849
11.5715,-1.1405,0.0019,0.0016,-0.0789,26.0886
11.5716,-1.1404,0.0019,0.0016,-0.4209,26.1789
11.5717,-1.1403,0.0019,0.0016,-0.7661,26.2560
11.5718,-1.1402,0.0019,0.0016,-1.1142,26.3187
11.5719,-1.1401,0.0019,0.0016,-1.4649,26.3649
11.5720,-1.1400,0.0019,0.0016,-1.8176,26.3917
11.5721,-1.1399,0.0019,0.0016,-2.1713,26.3921
11.5722,-1.1398,0.0019,0.0016,-2.5242,26.3684
11.5723,-1.1397,0.0019,0.0016,-2.8751,26.3235
11.5724,-1.1396,0.0019,0.0016,-3.2246,26.2690
11.5725,-1.1395,0.0019,0.0016,-3.5653,26.1742
11.5726,-1.1394,0.0019,0.0016,-3.9031,26.0693
11.5727,-1.1393,0.0019,0.0016,-4.2304,25.9355
11.5728,-1.1392,0.0019,0.0016,-4.5490,25.7818
11.5729,-1.1391,0.0019,0.0016,-4.8586,25.6110
11.5730,-1.1390,0.0019,0.0016,-5.1521,25.4136
11.5731,-1.1389,0.0019,0.0016,-5.4389,25.2067
11.5732,-1.1388,0.0019,0.0016,-5.7034,24.9718
11.5733,-1.1387,0.0019,0.0016,-5.9591,24.7273
11.5734,-1.1386,0.0019,0.0016,-6.1893,24.4588
11.5735,-1.1385,0.0019,0.0016,-6.4092,24.1818
11.5736,-1.1384,0.0019,0.0016,-6.6146,23.8939
11.5737,-1.1383,0.0019,0.0016,-6.8072,23.5972
11.5738,-1.1383,0.0019,0.0016,-6.9932,23.2964
11.5739,-1.1381,0.0019,0.0016,-7.1571,22.9829
11.5740,-1.1381,0.0019,0.0016,-7.3188,22.6683
11.5741,-1.1380,0.0019,0.0016,-7.4565,22.3425
11.5742,-1.1378,0.0019,0.0016,-7.5901,22.0150
11.5743,-1.1377,0.0019,0.0016,-7.7040,21.6802
11.5744,-1.1376,0.0019,0.0016,-7.8057,21.3413
11.5745,-1.1375,0.0019,0.0016,-7.8945,20.9990
11.5746,-1.1375,0.0019,0.0016,-7.9624,20.6518
11.5746,-1.1374,0.0019,0.0016,-8.0236,20.3035
11.5747,-1.1373,0.0019,0.0016,-8.0585,19.9515
11.5748,-1.1372,0.0019,0.0016,-8.0886,19.5990
11.5749,-1.1371,0.0019,0.0016,-8.1004,19.2455
11.5750,-1.1370,0.0019,0.0016,-8.1037,18.8917
11.5751,-1.1369,0.0019,0.0016,-8.1072,18.5380
11.5752,-1.1368,0.0019,0.0016,-8.1103,18.1843
11.5753,-1.1367,0.0019,0.0016,-8.1126,17.8305
11.5753,-1.1366,0.0019,0.0016,-8.1150,17.4768
11.5755,-1.1365,0.0019,0.0016,-8.1172,17.1231
11.5755,-1.1365,0.0019,0.0016,-8.1188,16.7693
11.5756,-1.1364,0.0019,0.0016,-8.1202,16.4156
11.5757,-1.1363,0.0019,0.0016,-8.1216,16.0618
11.5758,-1.1362,0.0019,0.0016,-8.1225,15.7081
11.5759,-1.1361,0.0019,0.0016,-8.1232,15.3543
11.5760,-1.1360,0.0019,0.0016,-8.1239,15.0006
11.5761,-1.1359,0.0019,0.0016,-8.1243,14.6469
11.5761,-1.1358,0.0019,0.0016,-8.1244,14.2931
11.5762,-1.1358,0.0019,0.0016,-8.1245,13.9394
11.5763,-1.1357,0.0019,0.0016,-8.1245,13.5856
11.5764,-1.1356,0.0019,0.0016,-8.1242,13.2319
11.5765,-1.1355,0.0019,0.0016,-8.1239,12.8781
11.5766,-1.1354,0.0019,0.0016,-8.1235,12.5244
11.5767,-1.1353,0.0019,0.0016,-8.1230,12.1706
11.5768,-1.1352,0.0019,0.0016,-8.1224,11.8169
11.5768,-1.1351,0.0019,0.0016,-8.1218,11.4631
11.5769,-1.1350,0.0019,0.0016,-8.1212,11.1094
11.5770,-1.1349,0.0019,0.0016,-8.1205,10.7556
11.5771,-1.1348,0.0019,0.0016,-8.1198,10.4019
11.5772,-1.1347,0.0019,0.0016,-8.1192,10.0482
11.5773,-1.1346,0.0019,0.0016,-8.1186,9.6944
11.5774,-1.1345,0.0019,0.0016,-8.1180,9.3407
11.5775,-1.1344,0.0019,0.0016,-8.1174,8.9869
11.5776,-1.1344,0.0019,0.0016,-8.1170,8.6332
11.5776,-1.1343,0.0019,0.0016,-8.1167,8.2794
11.5777,-1.1342,0.0019,0.0016,-8.1164,7.9257
11.5778,-1.1341,0.0019,0.0016,-8.1162,7.5719
11.5779,-1.1340,0.0019,0.0016,-8.1163,7.2182
11.5780,-1.1339,0.0019,0.0016,-8.1165,6.8644
11.5781,-1.1338,0.0019,0.0016,-8.1166,6.5107
11.5782,-1.1337,0.0019,0.0016,-8.1173,6.1569
11.5783,-1.1336,0.0019,0.0016,-8.1181,5.8032
11.5784,-1.1335,0.0019,0.0016,-8.1191,5.4494
11.5785,-1.1334,0.0019,0.0016,-8.1138,5.0958
11.5786,-1.1333,0.0019,0.0016,-8.0996,4.7423
11.5787,-1.1332,0.0019,0.0016,-8.0705,4.3898
11.5787,-1.1331,0.0019,0.0016,nan,nan
11.5788,-1.1330,0.0019,0.0016,nan,nan
11.5789,-1.1329,0.0019,0.0016,nan,nan
11.5790,-1.1328,0.0019,0.0016,nan,nan
11.5791,-1.1327,0.0019,0.0016,nan,nan
11.5792,-1.1326,0.0019,0.0016,nan,nan
11.5793,-1.1325,0.0019,0.0016,nan,nan
11.5794,-1.1324,0.0019,0.0016,nan,nan
11.5795,-1.1323,0.0019,0.0016,nan,nan
11.5796,-1.1322,0.0019,0.0016,nan,nan
11.5797,-1.1321,0.0019,0.0016,nan,nan
11.5798,-1.1320,0.0019,0.0016,nan,nan
11.5798,-1.1319,0.0019,0.0016,nan,nan
11.5799,-1.1318,0.0019,0.0016,nan,nan
11.5800,-1.1317,0.0019,0.0016,nan,nan
11.5801,-1.1316,0.0019,0.0016,nan,nan
11.5802,-1.1315,0.0019,0.0016,nan,nan
11.5803,-1.1314,0.0019,0.0016,nan,nan
11.5804,-1.1313,0.0019,0.0016,nan,nan
11.5805,-1.1312,0.0019,0.0016,nan,nan
11.5806,-1.1311,0.0019,0.0016,nan,nan
11.5807,-1.1310,0.0019,0.0016,nan,nan
11.5808,-1.1309,0.0019,0.0016,nan,nan
11.5809,-1.1308,0.0019,0.0016,nan,nan
11.5809,-1.1307,0.0019,0.0016,nan,nan
11.5810,-1.1307,0.0019,0.0016,nan,nan
11.5811,-1.1305,0.0019,0.0016,nan,nan
11.5812,-1.1304,0.0019,0.0016,nan,nan
11.5813,-1.1303,0.0019,0.0016,nan,nan
11.5814,-1.1302,0.0019,0.0016,nan,nan
11.5815,-1.1301,0.0019,0.0016,nan,nan
11.5816,-1.1300,0.0019,0.0016,nan,nan
11.5817,-1.1299,0.0019,0.0016,nan,nan
11.5818,-1.1298,0.0019,0.0016,nan,nan
11.5819,-1.1297,0.0019,0.0016,nan,nan
11.5819,-1.1297,0.0019,0.0016,nan,nan
11.5820,-1.1296,0.0019,0.0016,nan,nan
11.5821,-1.1295,0.0019,0.0016,nan,nan
11.5822,-1.1293,0.0019,0.0016,nan,nan
11.5823,-1.1292,0.0019,0.0016,nan,nan
11.5824,-1.1291,0.0019,0.0016,nan,nan
11.5825,-1.1291,0.0019,0.0016,nan,nan
11.5826,-1.1289,0.0019,0.0016,nan,nan
11.5827,-1.1288,0.0019,0.0016,nan,nan
11.5828,-1.1287,0.0019,0.0016,nan,nan
11.5829,-1.1287,0.0019,0.0016,nan,nan
11.5829,-1.1286,0.0019,0.0016,nan,nan
11.5830,-1.1285,0.0019,0.0016,nan,nan
11.5831,-1.1284,0.0019,0.0016,nan,nan
11.5832,-1.1283,0.0019,0.0016,nan,nan
11.5833,-1.1282,0.0019,0.0016,nan,nan
11.5834,-1.1281,0.0019,0.0016,nan,nan
11.5835,-1.1280,0.0019,0.0016,nan,nan
11.5835,-1.1279,0.0019,0.0016,nan,nan
11.5836,-1.1278,0.0019,0.0016,nan,nan
11.5837,-1.1277,0.0019,0.0016,nan,nan
11.5838,-1.1276,0.0019,0.0016,nan,nan
11.5839,-1.1275,0.0019,0.0016,nan,nan
11.5840,-1.1274,0.0019,0.0016,nan,nan
11.5841,-1.1273,0.0019,0.0016,nan,nan
11.5842,-1.1272,0.0019,0.0016,nan,nan
11.5843,-1.1271,0.0019,0.0016,nan,nan
11.5843,-1.1270,0.0019,0.0016,nan,nan
11.5844,-1.1269,0.0019,0.0016,nan,nan
11.5845,-1.1268,0.0019,0.0016,nan,nan
11.5846,-1.1267,0.0019,0.0016,nan,nan
11.5847,-1.1266,0.0019,0.0016,nan,nan
11.5847,-1.1265,0.0019,0.0016,nan,nan
11.5848,-1.1265,0.0019,0.0016,nan,nan
11.5849,-1.1263,0.0019,0.0016,nan,nan
11.5850,-1.1263,0.0019,0.0016,nan,nan
11.5851,-1.1262,0.0019,0.0016,nan,nan
11.5852,-1.1261,0.0019,0.0016,nan,nan
11.5852,-1.1260,0.0019,0.0016,nan,nan
11.5853,-1.1259,0.0019,0.0016,nan,nan
11.5854,-1.1258,0.0019,0.0016,nan,nan
11.5855,-1.1257,0.0019,0.0016,nan,nan
11.5856,-1.1256,0.0019,0.0016,nan,nan
11.5856,-1.1255,0.0019,0.0016,nan,nan
11.5857,-1.1254,0.0019,0.0016,nan,nan
11.5858,-1.1253,0.0019,0.0016,nan,nan
11.5859,-1.1253,0.0019,0.0016,nan,nan
11.5860,-1.1252,0.0019,0.0016,nan,nan
11.5860,-1.1251,0.0019,0.0016,nan,nan
11.5861,-1.1250,0.0019,0.0016,nan,nan
11.5861,-1.1250,0.0019,0.0016,nan,nan
11.5862,-1.1249,0.0019,0.0016,nan,nan
11.5863,-1.1248,0.0019,0.0016,nan,nan
11.5864,-1.1247,0.0019,0.0016,nan,nan
11.5865,-1.1246,0.0019,0.0016,nan,nan
11.5865,-1.1245,0.0019,0.0016,nan,nan
11.5866,-1.1244,0.0019,0.0016,nan,nan
11.5867,-1.1243,0.0019,0.0016,nan,nan
11.5868,-1.1242,0.0019,0.0016,nan,nan
11.5869,-1.1241,0.0019,0.0016,nan,nan
11.5870,-1.1240,0.0019,0.0016,nan,nan
11.5871,-1.1239,0.0019,0.0016,nan,nan
11.5872,-1.1238,0.0019,0.0016,nan,nan
11.5873,-1.1237,0.0019,0.0016,nan,nan
11.5873,-1.1236,0.0019,0.0016,nan,nan
11.5874,-1.1235,0.0019,0.0016,nan,nan
11.5875,-1.1234,0.0019,0.0016,nan,nan
11.5876,-1.1233,0.0019,0.0016,nan,nan
11.5877,-1.1232,0.0019,0.0016,nan,nan
